Breed,AgeInMonths,Size,Sterilized,Health,Temperament,GoodWithChildren,GoodWithOtherPets,PhotoCount,DescriptionLength,AdoptionSpeed
Australian Shepherd,114,Small,Yes,Healthy,"Shy, Independent, Aggressive",Yes,Yes,3,398,2
Australian Shepherd,43,Tiny,No,Serious Injury,"Affectionate, Calm, Shy",Yes,Yes,4,40,1
Labrador,23,Medium,No,Healthy,"Calm, Shy, Friendly",Yes,Yes,2,355,3
Golden Retriever,47,Tiny,Yes,Healthy,"Aggressive, Affectionate, Calm",No,No,4,143,1
Labrador,15,XL,No,Minor Injury,"Shy, Independent, Playful",No,Yes,0,311,2
Australian Shepherd,75,Tiny,Yes,Minor Injury,"Shy, Anxious, Friendly",Yes,Yes,2,290,2
Poodle,68,Small,No,Healthy,"Friendly, Independent, Aggressive",Yes,Yes,4,160,2
Poodle,86,Small,No,Healthy,"Calm, Playful, Shy",Yes,Yes,2,309,3
Labrador,78,Small,No,Healthy,"Calm, Playful, Affectionate",Yes,No,4,471,3
Beagle,112,Small,Yes,Minor Injury,"Anxious, Affectionate, Shy",Yes,Yes,4,71,2
Golden Retriever,110,Large,No,Serious Injury,"Affectionate, Shy, Playful",Yes,Yes,2,176,0
Poodle,111,Tiny,No,Healthy,"Calm, Aggressive, Playful",Yes,Yes,3,310,2
German Shepherd,8,XL,Yes,Serious Injury,"Friendly, Aggressive, Anxious",No,Yes,1,439,0
Mixed,30,Medium,No,Healthy,"Friendly, Affectionate, Anxious",No,Yes,1,21,1
Australian Shepherd,49,Small,No,Healthy,"Anxious, Affectionate, Shy",No,Yes,4,151,2
Husky,90,Medium,No,Minor Injury,"Calm, Friendly, Anxious",Yes,Yes,0,369,3
Husky,75,Medium,No,Minor Injury,"Calm, Playful, Anxious",No,Yes,3,93,2
Mixed,39,Small,No,Minor Injury,"Shy, Independent, Playful",No,Yes,4,178,2
Husky,71,Medium,Yes,Healthy,"Shy, Aggressive, Calm",Yes,Yes,0,445,2
Beagle,61,Small,Yes,Healthy,"Friendly, Independent, Anxious",Yes,Yes,1,459,3
Golden Retriever,36,XL,Yes,Healthy,"Aggressive, Anxious, Calm",Yes,Yes,3,471,3
Golden Retriever,118,Large,Yes,Healthy,"Anxious, Shy, Aggressive",Yes,Yes,5,404,2
Husky,44,Large,No,Minor Injury,"Affectionate, Independent, Aggressive",No,Yes,4,381,2
Australian Shepherd,47,Large,Yes,Healthy,"Calm, Aggressive, Independent",Yes,No,2,160,0
Husky,119,XL,Yes,Healthy,"Affectionate, Aggressive, Playful",Yes,No,5,137,0
Beagle,21,Tiny,No,Healthy,"Independent, Friendly, Calm",Yes,Yes,5,239,3
Beagle,9,Medium,No,Healthy,"Affectionate, Playful, Shy",Yes,Yes,1,28,3
Labrador,15,Medium,No,Healthy,"Affectionate, Playful, Anxious",Yes,Yes,1,491,3
Labrador,42,Large,No,Healthy,"Affectionate, Calm, Aggressive",Yes,Yes,0,173,1
German Shepherd,91,Small,No,Minor Injury,"Affectionate, Shy, Independent",Yes,No,4,87,2
Golden Retriever,50,Large,Yes,Serious Injury,"Independent, Friendly, Playful",No,No,2,119,0
Mixed,60,Tiny,Yes,Minor Injury,"Friendly, Affectionate, Independent",Yes,Yes,1,364,3
Bulldog,18,XL,Yes,Serious Injury,"Aggressive, Anxious, Affectionate",Yes,Yes,2,183,0
Husky,74,Small,Yes,Healthy,"Aggressive, Shy, Independent",No,Yes,0,458,1
Poodle,114,XL,No,Healthy,"Playful, Aggressive, Affectionate",Yes,Yes,4,194,1
Labrador,49,XL,No,Healthy,"Shy, Playful, Anxious",Yes,Yes,2,127,2
German Shepherd,98,Medium,Yes,Healthy,"Anxious, Independent, Shy",Yes,No,0,138,0
German Shepherd,21,Tiny,Yes,Healthy,"Shy, Calm, Affectionate",Yes,Yes,0,169,2
Golden Retriever,48,Tiny,Yes,Healthy,"Aggressive, Affectionate, Friendly",Yes,Yes,4,162,2
Poodle,35,Medium,Yes,Healthy,"Anxious, Playful, Aggressive",Yes,Yes,3,474,3
Labrador,32,Medium,Yes,Healthy,"Calm, Affectionate, Friendly",Yes,Yes,2,157,2
Husky,73,Small,Yes,Healthy,"Calm, Anxious, Shy",Yes,Yes,5,96,3
Husky,57,Large,Yes,Healthy,"Affectionate, Anxious, Friendly",Yes,No,5,428,3
Labrador,2,Tiny,No,Healthy,"Friendly, Anxious, Independent",Yes,Yes,2,282,3
Bulldog,85,XL,No,Healthy,"Shy, Calm, Playful",Yes,Yes,1,342,3
German Shepherd,42,XL,No,Minor Injury,"Aggressive, Friendly, Anxious",No,Yes,5,144,1
Beagle,39,Medium,No,Healthy,"Independent, Calm, Shy",Yes,Yes,0,260,2
Labrador,75,Small,Yes,Healthy,"Playful, Affectionate, Independent",Yes,Yes,3,321,4
Australian Shepherd,19,Large,Yes,Minor Injury,"Shy, Friendly, Playful",No,No,3,237,2
Australian Shepherd,102,Tiny,No,Serious Injury,"Anxious, Affectionate, Friendly",Yes,Yes,1,307,0
Labrador,39,Tiny,No,Healthy,"Aggressive, Affectionate, Playful",Yes,Yes,4,55,2
Mixed,104,Medium,Yes,Healthy,"Friendly, Anxious, Independent",Yes,No,4,372,2
Beagle,36,Tiny,No,Healthy,"Aggressive, Playful, Shy",No,Yes,2,92,0
Poodle,8,Medium,No,Healthy,"Aggressive, Independent, Anxious",Yes,Yes,0,398,3
German Shepherd,70,Tiny,Yes,Minor Injury,"Calm, Affectionate, Friendly",No,No,0,215,1
Mixed,13,Small,Yes,Serious Injury,"Friendly, Independent, Affectionate",No,Yes,0,335,0
Golden Retriever,2,Tiny,No,Healthy,"Anxious, Calm, Playful",Yes,Yes,3,24,4
Beagle,44,XL,Yes,Minor Injury,"Aggressive, Playful, Calm",No,Yes,2,179,0
Beagle,21,Tiny,No,Healthy,"Shy, Friendly, Playful",No,Yes,5,219,2
Golden Retriever,50,Tiny,Yes,Healthy,"Independent, Calm, Playful",Yes,Yes,2,319,3
Australian Shepherd,58,Large,Yes,Healthy,"Independent, Anxious, Calm",Yes,Yes,2,361,3
Beagle,70,Tiny,No,Healthy,"Aggressive, Playful, Friendly",Yes,No,1,234,0
Australian Shepherd,44,XL,Yes,Healthy,"Playful, Affectionate, Aggressive",Yes,No,1,121,0
Poodle,81,Small,Yes,Serious Injury,"Affectionate, Playful, Calm",Yes,Yes,2,373,1
Poodle,87,Tiny,Yes,Healthy,"Anxious, Aggressive, Playful",Yes,Yes,5,135,2
Labrador,8,Large,No,Healthy,"Anxious, Friendly, Affectionate",Yes,Yes,5,319,4
Labrador,58,Large,No,Healthy,"Shy, Playful, Anxious",Yes,Yes,3,472,4
Bulldog,77,XL,Yes,Healthy,"Friendly, Calm, Aggressive",Yes,Yes,4,306,3
German Shepherd,47,Small,Yes,Minor Injury,"Playful, Shy, Calm",Yes,Yes,0,330,3
Beagle,80,Medium,Yes,Healthy,"Friendly, Affectionate, Calm",Yes,No,1,465,2
Husky,30,XL,Yes,Healthy,"Playful, Aggressive, Calm",Yes,Yes,0,74,1
Bulldog,16,Tiny,No,Healthy,"Affectionate, Independent, Anxious",No,Yes,3,164,2
Beagle,16,XL,No,Healthy,"Anxious, Calm, Shy",Yes,No,3,155,2
Labrador,84,Large,Yes,Serious Injury,"Aggressive, Independent, Shy",Yes,Yes,2,163,0
Australian Shepherd,30,Medium,No,Healthy,"Calm, Anxious, Playful",Yes,Yes,4,298,3
Labrador,92,XL,Yes,Healthy,"Affectionate, Shy, Independent",Yes,No,2,123,1
Labrador,118,Tiny,Yes,Healthy,"Calm, Shy, Affectionate",Yes,Yes,4,487,3
Husky,104,Small,Yes,Healthy,"Calm, Anxious, Affectionate",No,Yes,3,340,2
German Shepherd,30,Large,Yes,Healthy,"Aggressive, Calm, Affectionate",Yes,No,4,103,1
German Shepherd,70,XL,No,Minor Injury,"Shy, Playful, Affectionate",No,Yes,5,485,3
Bulldog,72,Small,No,Healthy,"Independent, Friendly, Aggressive",No,Yes,0,291,0
Labrador,76,XL,Yes,Minor Injury,"Friendly, Anxious, Shy",Yes,Yes,5,245,3
Mixed,14,Small,No,Healthy,"Shy, Anxious, Aggressive",Yes,Yes,3,170,2
German Shepherd,114,XL,No,Minor Injury,"Independent, Aggressive, Friendly",Yes,Yes,4,85,1
Beagle,105,XL,No,Minor Injury,"Affectionate, Aggressive, Calm",Yes,Yes,4,277,1
Labrador,91,Small,Yes,Minor Injury,"Affectionate, Anxious, Shy",Yes,Yes,0,476,3
Golden Retriever,65,XL,Yes,Serious Injury,"Independent, Calm, Friendly",Yes,No,2,342,0
Mixed,52,Large,No,Healthy,"Playful, Aggressive, Friendly",Yes,Yes,5,426,3
Australian Shepherd,26,Large,No,Healthy,"Affectionate, Calm, Anxious",Yes,Yes,3,485,4
Bulldog,55,Medium,Yes,Healthy,"Shy, Calm, Friendly",Yes,Yes,5,438,4
Mixed,22,Small,Yes,Healthy,"Independent, Playful, Friendly",Yes,Yes,2,162,2
Beagle,86,Medium,No,Minor Injury,"Friendly, Shy, Independent",Yes,Yes,3,120,3
Husky,116,Medium,Yes,Minor Injury,"Friendly, Anxious, Calm",Yes,Yes,1,31,1
Golden Retriever,111,XL,Yes,Healthy,"Calm, Anxious, Aggressive",Yes,Yes,0,61,0
Bulldog,38,Large,Yes,Healthy,"Affectionate, Independent, Aggressive",Yes,Yes,1,448,2
Bulldog,35,Large,No,Healthy,"Affectionate, Anxious, Friendly",Yes,Yes,5,235,3
German Shepherd,106,Medium,Yes,Healthy,"Independent, Calm, Shy",Yes,Yes,5,481,3
Golden Retriever,6,XL,No,Healthy,"Playful, Friendly, Affectionate",No,Yes,2,355,3
Beagle,7,XL,No,Serious Injury,"Aggressive, Affectionate, Playful",Yes,Yes,3,33,1
Poodle,73,Medium,No,Healthy,"Friendly, Playful, Shy",Yes,Yes,4,182,3
Labrador,66,XL,No,Healthy,"Aggressive, Playful, Affectionate",Yes,Yes,2,149,1
Husky,35,Tiny,No,Healthy,"Playful, Shy, Calm",No,Yes,1,225,1
German Shepherd,20,Tiny,Yes,Healthy,"Affectionate, Independent, Playful",Yes,No,1,275,1
Bulldog,10,Small,Yes,Healthy,"Affectionate, Shy, Friendly",Yes,Yes,0,469,4
Bulldog,25,XL,No,Healthy,"Playful, Shy, Aggressive",Yes,Yes,4,329,3
Bulldog,33,XL,No,Serious Injury,"Affectionate, Aggressive, Anxious",Yes,Yes,3,114,0
Mixed,14,Large,No,Minor Injury,"Friendly, Aggressive, Affectionate",No,No,0,129,0
Golden Retriever,80,Small,Yes,Minor Injury,"Anxious, Aggressive, Affectionate",No,Yes,5,257,1
Poodle,52,Large,Yes,Healthy,"Calm, Affectionate, Independent",Yes,Yes,2,444,3
Poodle,6,Small,No,Healthy,"Shy, Calm, Playful",Yes,Yes,0,160,3
Beagle,117,Large,No,Healthy,"Aggressive, Friendly, Playful",Yes,Yes,1,411,1
Australian Shepherd,21,Large,No,Minor Injury,"Aggressive, Affectionate, Playful",Yes,Yes,1,471,2
German Shepherd,25,Medium,No,Healthy,"Shy, Playful, Friendly",Yes,Yes,3,192,3
Australian Shepherd,60,Small,No,Minor Injury,"Calm, Shy, Playful",Yes,Yes,3,307,4
Poodle,96,XL,No,Healthy,"Playful, Independent, Calm",Yes,Yes,3,160,3
Bulldog,31,Tiny,Yes,Healthy,"Playful, Anxious, Independent",No,Yes,5,39,2
Poodle,18,Large,No,Healthy,"Playful, Affectionate, Aggressive",Yes,No,4,335,2
Beagle,63,Small,Yes,Healthy,"Anxious, Playful, Affectionate",Yes,Yes,5,179,3
Poodle,93,Small,Yes,Minor Injury,"Calm, Independent, Shy",Yes,Yes,2,273,2
Beagle,2,Medium,Yes,Healthy,"Anxious, Aggressive, Playful",Yes,Yes,3,170,3
Beagle,83,Small,Yes,Healthy,"Independent, Playful, Aggressive",Yes,Yes,2,24,1
Mixed,83,XL,No,Healthy,"Aggressive, Affectionate, Calm",Yes,Yes,1,285,1
Poodle,89,XL,Yes,Healthy,"Shy, Friendly, Calm",No,Yes,1,401,2
German Shepherd,11,Medium,Yes,Healthy,"Independent, Anxious, Affectionate",Yes,Yes,1,272,3
Australian Shepherd,31,Large,Yes,Healthy,"Playful, Shy, Affectionate",Yes,No,0,490,2
Mixed,83,Small,No,Minor Injury,"Shy, Playful, Affectionate",Yes,Yes,0,118,2
German Shepherd,21,Large,Yes,Healthy,"Aggressive, Independent, Friendly",No,Yes,0,175,0
Beagle,62,Small,No,Healthy,"Playful, Friendly, Aggressive",Yes,Yes,5,390,3
Labrador,7,Small,No,Healthy,"Aggressive, Friendly, Playful",No,Yes,3,116,2
Bulldog,4,Small,No,Healthy,"Calm, Aggressive, Independent",Yes,No,3,122,2
Poodle,40,Small,Yes,Healthy,"Calm, Shy, Anxious",Yes,Yes,0,120,2
Bulldog,103,Small,Yes,Healthy,"Affectionate, Calm, Shy",Yes,Yes,3,327,3
German Shepherd,93,XL,Yes,Healthy,"Affectionate, Independent, Shy",Yes,No,3,439,3
Poodle,38,Medium,No,Healthy,"Affectionate, Aggressive, Anxious",Yes,Yes,1,82,1
German Shepherd,101,Large,Yes,Minor Injury,"Anxious, Affectionate, Playful",Yes,No,3,210,1
Husky,62,Small,Yes,Healthy,"Affectionate, Calm, Aggressive",Yes,Yes,4,26,2
Australian Shepherd,27,Tiny,No,Healthy,"Affectionate, Shy, Anxious",No,Yes,3,489,3
Husky,14,Medium,No,Healthy,"Anxious, Aggressive, Independent",Yes,Yes,4,105,2
Poodle,5,Large,Yes,Serious Injury,"Shy, Aggressive, Friendly",Yes,No,5,202,0
Mixed,2,Medium,No,Healthy,"Independent, Affectionate, Playful",Yes,No,5,238,3
Bulldog,21,Small,No,Healthy,"Independent, Affectionate, Anxious",Yes,Yes,5,249,3
German Shepherd,79,Medium,No,Serious Injury,"Calm, Affectionate, Shy",Yes,No,4,157,0
German Shepherd,87,Tiny,Yes,Minor Injury,"Anxious, Aggressive, Independent",Yes,No,1,395,1
